2019-10-19 20:11:48 - root - spider: Comment count: 10
2019-10-19 20:11:48 - root - spider: Comment count: 10
2019-10-19 20:11:49 - root - spider: Comment count: 10
2019-10-19 20:11:50 - root - spider: Comment count: 10
2019-10-19 20:11:50 - root - spider: Comment count: 10
2019-10-19 20:11:50 - root - spider: Comment count: 10
2019-10-19 20:11:51 - root - spider: Comment count: 10
2019-10-19 20:11:52 - root - spider: Comment count: 10
2019-10-19 20:11:52 - root - spider: Comment count: 10
2019-10-19 20:11:52 - root - spider: Comment count: 10
2019-10-19 20:11:53 - root - spider: Comment count: 10
2019-10-19 20:11:54 - root - spider: Comment count: 10
2019-10-19 20:11:55 - root - spider: Comment count: 10
2019-10-19 20:11:55 - root - spider: Comment count: 10
2019-10-19 20:11:55 - root - spider: Comment count: 10
2019-10-19 20:11:56 - root - spider: Comment count: 10
2019-10-19 20:11:56 - root - spider: Comment count: 10
2019-10-19 20:11:56 - root - spider: Comment count: 10
2019-10-19 20:11:57 - root - spider: Comment count: 10
2019-10-19 20:11:57 - root - spider: Comment count: 10
2019-10-19 20:11:58 - root - spider: Comment count: 10
2019-10-19 20:11:58 - root - spider: Comment count: 10
2019-10-19 20:11:58 - root - spider: Comment count: 10
2019-10-19 20:11:59 - root - spider: Comment count: 10
2019-10-19 20:12:00 - root - spider: Comment count: 10
2019-10-19 20:12:00 - root - spider: Comment count: 10
2019-10-19 20:12:00 - root - spider: Comment count: 10
2019-10-19 20:12:01 - root - spider: Comment count: 10
2019-10-19 20:12:01 - root - spider: Comment count: 10
2019-10-19 20:12:01 - root - spider: Comment count: 10
2019-10-19 20:12:02 - root - spider: Comment count: 10
2019-10-19 20:12:02 - root - spider: Comment count: 10
2019-10-19 20:12:03 - root - spider: Comment count: 10
2019-10-19 20:12:03 - root - spider: Comment count: 10
2019-10-19 20:12:03 - root - spider: Comment count: 10
2019-10-19 20:12:04 - root - spider: Comment count: 10
2019-10-19 20:12:04 - root - spider: Comment count: 10
2019-10-19 20:12:04 - root - spider: Comment count: 10
2019-10-19 20:12:05 - root - spider: Comment count: 10
2019-10-19 20:12:06 - root - spider: Comment count: 10
2019-10-19 20:12:06 - root - spider: Comment count: 10
2019-10-19 20:12:06 - root - spider: Comment count: 10
2019-10-19 20:12:06 - root - spider: Comment count: 10
2019-10-19 20:12:07 - root - spider: Comment count: 10
2019-10-19 20:12:08 - root - spider: Comment count: 10
2019-10-19 20:12:08 - root - spider: Comment count: 10
2019-10-19 20:12:08 - root - spider: Comment count: 10
2019-10-19 20:12:08 - root - spider: Comment count: 10
2019-10-19 20:12:09 - root - spider: Comment count: 10
2019-10-19 20:12:09 - root - spider: Comment count: 10
2019-10-19 20:12:09 - root - spider: Comment count: 10
2019-10-19 20:12:10 - root - spider: Comment count: 10
2019-10-19 20:12:11 - root - spider: Comment count: 10
2019-10-19 20:12:11 - root - spider: Comment count: 10
2019-10-19 20:12:11 - root - spider: Comment count: 10
2019-10-19 20:12:11 - root - spider: Comment count: 10
2019-10-19 20:12:12 - root - spider: Comment count: 10
2019-10-19 20:12:12 - root - spider: Comment count: 10
2019-10-19 20:12:12 - root - spider: Comment count: 10
2019-10-19 20:12:13 - root - spider: Comment count: 10
2019-10-19 20:12:14 - root - spider: Comment count: 10
2019-10-19 20:12:14 - root - spider: Comment count: 10
2019-10-19 20:12:14 - root - spider: Comment count: 10
2019-10-19 20:12:15 - root - spider: Comment count: 10
2019-10-19 20:12:15 - root - spider: Comment count: 10
2019-10-19 20:12:16 - root - spider: Comment count: 10
2019-10-19 20:12:16 - root - spider: Comment count: 10
2019-10-19 20:12:16 - root - spider: Comment count: 10
2019-10-19 20:12:17 - root - spider: Comment count: 10
2019-10-19 20:12:17 - root - spider: Comment count: 10
2019-10-19 20:12:17 - root - spider: Comment count: 10
2019-10-19 20:12:18 - root - spider: Comment count: 10
2019-10-19 20:12:19 - root - spider: Comment count: 10
2019-10-19 20:12:19 - root - spider: Comment count: 10
2019-10-19 20:12:19 - root - spider: Comment count: 10
2019-10-19 20:12:20 - root - spider: Comment count: 10
2019-10-19 20:12:21 - root - spider: Comment count: 10
2019-10-19 20:12:21 - root - spider: Comment count: 10
2019-10-19 20:12:22 - root - spider: Comment count: 10
2019-10-19 20:12:22 - root - spider: Comment count: 10
2019-10-19 20:12:24 - root - spider: Comment count: 10
2019-10-19 20:12:24 - root - spider: Comment count: 10
2019-10-19 20:12:25 - root - spider: Comment count: 10
2019-10-19 20:12:25 - root - spider: Comment count: 10
2019-10-19 20:12:26 - root - spider: Comment count: 10
2019-10-19 20:12:27 - root - spider: Comment count: 10
2019-10-19 20:12:28 - root - spider: Comment count: 10
2019-10-19 20:12:29 - root - spider: Comment count: 10
2019-10-19 20:12:30 - root - spider: Comment count: 10
2019-10-19 20:12:31 - root - spider: Comment count: 10
2019-10-19 20:12:31 - root - spider: Comment count: 10
2019-10-19 20:12:31 - root - spider: Comment count: 10
2019-10-19 20:12:33 - root - spider: Comment count: 10
2019-10-19 20:12:34 - root - spider: Comment count: 10
2019-10-19 20:12:34 - root - spider: Comment count: 10
2019-10-19 20:12:34 - root - spider: Comment count: 10
2019-10-19 20:12:36 - root - spider: Comment count: 10
2019-10-19 20:12:36 - root - spider: Comment count: 10
2019-10-19 20:12:36 - root - spider: Comment count: 10
2019-10-19 20:12:37 - root - spider: Comment count: 10
2019-10-19 20:12:39 - root - spider: Comment count: 10
2019-10-19 20:12:39 - root - spider: Comment count: 10
2019-10-19 20:12:39 - root - spider: Comment count: 10
2019-10-19 20:12:40 - root - spider: Comment count: 10
2019-10-19 20:12:41 - root - spider: Comment count: 10
2019-10-19 20:12:42 - root - spider: Comment count: 10
2019-10-19 20:12:43 - root - spider: Comment count: 10
2019-10-19 20:12:43 - root - spider: Comment count: 10
2019-10-19 20:12:44 - root - spider: Comment count: 10
2019-10-19 20:12:45 - root - spider: Comment count: 10
2019-10-19 20:12:45 - root - spider: Comment count: 10
2019-10-19 20:12:45 - root - spider: Comment count: 10
